id,text,file,node,lineNumber
Concierge0fixed-Concierge0-0,"""Hello hun, are you the new employee?""",Concierge0fixed,Concierge0,6
Concierge0fixed-Concierge0-1,"""You tell me.""",Concierge0fixed,Concierge0,8
Concierge0fixed-Concierge0-2,"""Yes, I know for a fact that I am the new employee."" (lie)",Concierge0fixed,Concierge0,9
Concierge0fixed-Concierge0-3,"""Help! I don't know who I am!! I don't know where I am!!! Let me out!!!! Let me out of this box!!!!!""",Concierge0fixed,Concierge0,10
Concierge0fixed-Concierge0-4,"""...""",Concierge0fixed,Concierge0,11
Concierge0fixed-coolpath-5,"""Seeing as security let you in alive, you're probably the new employee dear ;) Either that, or some sort of hotshot here to meet with the executives.""",Concierge0fixed,coolpath,25
Concierge0fixed-coolpath-6,"""I guess I'm the new employee then.""",Concierge0fixed,coolpath,27
Concierge0fixed-coolpath-7,"""I am the hottest of shots.""",Concierge0fixed,coolpath,28
Concierge0fixed-lyingpath-8,"""Oh really? Why don't you tell me your employee ID code then?""",Concierge0fixed,lyingpath,35
Concierge0fixed-lyingpath-9,"""1234567"" (lie)",Concierge0fixed,lyingpath,37
Concierge0fixed-lyingpath-10,"""Sorry, I don't know my ID yet. Could you tell me?""",Concierge0fixed,lyingpath,38
Concierge0fixed-lyingpath-11,"""69"" (LOL!)",Concierge0fixed,lyingpath,39
Concierge0fixed-helppath-12,"""Whoa whoa slow down hun. Don't worry, you're in the right place, you're safe. We're going to take care of you.""",Concierge0fixed,helppath,46
Concierge0fixed-helppath-13,(╥﹏╥),Concierge0fixed,helppath,48
Concierge0fixed-meEmployee-14,"""The new employee? We've been expecting you hun. I'll prep the paperwork. You can take the elevator when you're ready.""",Concierge0fixed,meEmployee,55
Concierge0fixed-meEmployee-15,"""I'm ready, thanks for your help.""",Concierge0fixed,meEmployee,57
Concierge0fixed-meEmployee-16,"""Hold on, what do employees do here exactly?""",Concierge0fixed,meEmployee,58
Concierge0fixed-hotshot-17,"""A hot shot hm? We *employ* a lot of hotshots dear. But the hotshots always arrive by helicopter when they're here to see the executives. So how come you're walking in off the street hm?""",Concierge0fixed,hotshot,65
Concierge0fixed-hotshot-18,"""Maybe I was mistaken. I guess I'm just a new employee.""",Concierge0fixed,hotshot,67
Concierge0fixed-hotshot-19,"""So you can call me a helicopter of course."" (⌐■_■)",Concierge0fixed,hotshot,68
Concierge0fixed-thankforhelp-20,"""Of course dear. Please enjoy your stay with us.""",Concierge0fixed,thankforhelp,75
